year,county_fips,state,county_name,Democrat,Republican,total,majority,percentage,d_percentage,r_percentage,sample
2000,48467,TEXAS,VAN ZANDT,5245,12383,17628,Republican,0.702461992,0.297538008,0.702461992,0.963270903
2000,31083,NEBRASKA,HARLAN,438,1358,1796,Republican,0.756124722,0.243875278,0.756124722,0.963162686
2008,38043,NORTH DAKOTA,KIDDER,422,752,1174,Republican,0.640545145,0.359454855,0.640545145,0.963057954
2012,45017,SOUTH CAROLINA,CALHOUN,4045,3707,7752,Democrat,0.521800826,0.521800826,0.478199174,0.963012313
2016,42089,PENNSYLVANIA,MONROE,33918,33386,67304,Democrat,0.503952217,0.503952217,0.496047783,0.96295834
2004,2024,ALASKA,DISTRICT 24,5226,7622,12848,Republican,0.593244085,0.406755915,0.593244085,0.962932135
2016,8115,COLORADO,SEDGWICK,267,1015,1282,Republican,0.791731669,0.208268331,0.791731669,0.962915278
2016,17017,ILLINOIS,CASS,1621,3216,4837,Republican,0.664874922,0.335125078,0.664874922,0.962724397
2016,20155,KANSAS,RENO,6837,15513,22350,Republican,0.69409396,0.30590604,0.69409396,0.962331829
2004,37163,NORTH CAROLINA,SAMPSON,9649,12600,22249,Republican,0.566317587,0.433682413,0.566317587,0.96224153
2016,20131,KANSAS,NEMAHA,725,4124,4849,Republican,0.850484636,0.149515364,0.850484636,0.962143678
2004,51051,VIRGINIA,DICKENSON,3761,3591,7352,Democrat,0.51156148,0.51156148,0.48843852,0.962136907
2008,12115,FLORIDA,SARASOTA,102686,102897,205583,Republican,0.500513175,0.499486825,0.500513175,0.962117109
2008,18051,INDIANA,GIBSON,6455,8449,14904,Republican,0.566894793,0.433105207,0.566894793,0.962112962
2008,2034,ALASKA,DISTRICT 34,1920,7358,9278,Republican,0.793058849,0.206941151,0.793058849,0.962083038
2004,6089,CALIFORNIA,SHASTA,24339,52249,76588,Republican,0.682208701,0.317791299,0.682208701,0.962014671
2000,20111,KANSAS,LYON,5190,6652,11842,Republican,0.561729438,0.438270562,0.561729438,0.961991015
2008,47143,TENNESSEE,RHEA,2907,8042,10949,Republican,0.734496301,0.265503699,0.734496301,0.961892678
2016,48193,TEXAS,HAMILTON,479,3060,3539,Republican,0.864651031,0.135348969,0.864651031,0.961764362
2016,18131,INDIANA,PULASKI,1327,3854,5181,Republican,0.743871839,0.256128161,0.743871839,0.961650498
2012,51003,VIRGINIA,ALBEMARLE,29757,23297,53054,Democrat,0.560881366,0.560881366,0.439118634,0.961631587
2012,48491,TEXAS,WILLIAMSON,61875,97006,158881,Republican,0.610557587,0.389442413,0.610557587,0.961630563
2004,26081,MICHIGAN,KENT,116909,171201,288110,Republican,0.594220957,0.405779043,0.594220957,0.961484535
2000,38009,NORTH DAKOTA,BOTTINEAU,1173,2349,3522,Republican,0.666950596,0.333049404,0.666950596,0.961416758
2004,36015,NEW YORK,CHEMUNG,16639,20742,37381,Republican,0.554880822,0.445119178,0.554880822,0.961356058
2004,1055,ALABAMA,ETOWAH,15328,26999,42327,Republican,0.637867082,0.362132918,0.637867082,0.961330436
2000,19169,IOWA,STORY,17478,16228,33706,Democrat,0.518542693,0.518542693,0.481457307,0.961231317
2012,53043,WASHINGTON,LINCOLN,1673,4063,5736,Republican,0.708333333,0.291666667,0.708333333,0.961177439
2016,23011,MAINE,KENNEBEC,29302,31675,60977,Republican,0.519458156,0.480541844,0.519458156,0.96103517
2012,17151,ILLINOIS,POPE,650,1512,2162,Republican,0.699352451,0.300647549,0.699352451,0.961031088
2008,55043,WISCONSIN,GRANT,14875,9068,23943,Democrat,0.621267176,0.621267176,0.378732824,0.960997345
2004,31067,NEBRASKA,GAGE,3655,6575,10230,Republican,0.642717498,0.357282502,0.642717498,0.960910157
2000,22007,LOUISIANA,ASSUMPTION,5222,4388,9610,Democrat,0.5433923,0.5433923,0.4566077,0.960875214
2004,47175,TENNESSEE,VAN BUREN,1209,1119,2328,Democrat,0.519329897,0.519329897,0.480670103,0.960873876
2004,48027,TEXAS,BELL,27165,52135,79300,Republican,0.657440101,0.342559899,0.657440101,0.96087311
2008,50023,VERMONT,WASHINGTON,22324,9129,31453,Democrat,0.709757416,0.709757416,0.290242584,0.960872733
2012,26023,MICHIGAN,BRANCH,6913,10035,16948,Republican,0.592105263,0.407894737,0.592105263,0.960829742
2000,19077,IOWA,GUTHRIE,2493,2840,5333,Republican,0.532533283,0.467466717,0.532533283,0.960802991
2000,51610,VIRGINIA,FALLS CHURCH,3109,2131,5240,Democrat,0.593320611,0.593320611,0.406679389,0.960793646
2000,39131,OHIO,PIKE,4923,5333,10256,Republican,0.5199883,0.4800117,0.5199883,0.960727138
2008,8065,COLORADO,LAKE,1859,1078,2937,Democrat,0.632958801,0.632958801,0.367041199,0.960672353
2004,2040,ALASKA,DISTRICT 40,2328,3217,5545,Republican,0.580162308,0.419837692,0.580162308,0.96060473
2004,28159,MISSISSIPPI,WINSTON,3960,5375,9335,Republican,0.575790037,0.424209963,0.575790037,0.96050557
2016,8007,COLORADO,ARCHULETA,2500,4264,6764,Republican,0.630396215,0.369603785,0.630396215,0.96050078
2016,46107,SOUTH DAKOTA,POTTER,215,1071,1286,Republican,0.83281493,0.16718507,0.83281493,0.960429712
2004,16021,IDAHO,BOUNDARY,1268,3012,4280,Republican,0.703738318,0.296261682,0.703738318,0.960423022
2004,37193,NORTH CAROLINA,WILKES,7862,19197,27059,Republican,0.709449721,0.290550279,0.709449721,0.960380214
2012,21203,KENTUCKY,ROCKCASTLE,1097,5028,6125,Republican,0.820897959,0.179102041,0.820897959,0.960365887
